country,city,general
El Salvador,San Salvador,"San Salvador, El Salvador"
Honduras,San José,"San José, Honduras"
United States,Terre Haute,"Terre Haute, United States"
Mexico,Hidalgo,"Hidalgo, Mexico"
United States,San Antonio,"San Antonio, United States"
United States,New Haven,"New Haven, United States"
United States,Shreveport,"Shreveport, United States"
United States,High Point,"High Point, United States"
Mexico,Infonavit,"Infonavit, Mexico"
Costa Rica,San José,"San José, Costa Rica"
Nicaragua,La Concordia,"La Concordia, Nicaragua"
United States,New Brunswick,"New Brunswick, United States"
United States,Memphis,"Memphis, United States"
Guatemala,Santa Ana,"Santa Ana, Guatemala"
Guatemala,San Pedro Jocopilas,"San Pedro Jocopilas, Guatemala"
Spain,Valencia,"Valencia, Spain"
Spain,"Palmas De Gran Canaria, Las","Palmas De Gran Canaria, Las, Spain"
United States,Albany,"Albany, United States"
United States,Philadelphia,"Philadelphia, United States"
Mexico,Bellavista,"Bellavista, Mexico"
Nicaragua,La Jicaral,"La Jicaral, Nicaragua"
United States,Portland,"Portland, United States"
United States,Sioux Falls,"Sioux Falls, United States"
United States,Vancouver,"Vancouver, United States"
Guatemala,Santa Ana,"Santa Ana, Guatemala"
Mexico,Vicente Guerrero,"Vicente Guerrero, Mexico"
United States,Kansas City,"Kansas City, United States"
El Salvador,Santa Ana,"Santa Ana, El Salvador"
United States,Charlotte,"Charlotte, United States"
Mexico,Emiliano Zapata,"Emiliano Zapata, Mexico"
Honduras,Concordia,"Concordia, Honduras"
Guatemala,Chiantla,"Chiantla, Guatemala"
Panama,Ailigandí,"Ailigandí, Panama"
Costa Rica,San Isidro,"San Isidro, Costa Rica"
Guatemala,San Andrés,"San Andrés, Guatemala"
Mexico,Vista Hermosa,"Vista Hermosa, Mexico"
Guatemala,Jocotenango,"Jocotenango, Guatemala"
United States,New Bedford,"New Bedford, United States"
United States,Valdosta,"Valdosta, United States"
Mexico,Loma Alta,"Loma Alta, Mexico"
United States,Hartford,"Hartford, United States"
Nicaragua,San Sebastián de Yalí,"San Sebastián de Yalí, Nicaragua"
United States,Mesa,"Mesa, United States"
Spain,Logroño,"Logroño, Spain"
Mexico,Santiago,"Santiago, Mexico"
Guatemala,San Miguel Dueñas,"San Miguel Dueñas, Guatemala"
El Salvador,Ozatlán,"Ozatlán, El Salvador"
Mexico,Los Angeles,"Los Angeles, Mexico"
Panama,Llano de Piedra,"Llano de Piedra, Panama"
Nicaragua,Masatepe,"Masatepe, Nicaragua"
United States,Saint Petersburg,"Saint Petersburg, United States"
Spain,Granada,"Granada, Spain"
United States,Portland,"Portland, United States"
Nicaragua,Bluefields,"Bluefields, Nicaragua"
Nicaragua,Ciudad Sandino,"Ciudad Sandino, Nicaragua"
Mexico,Tierra Blanca,"Tierra Blanca, Mexico"
Mexico,Cuauhtemoc,"Cuauhtemoc, Mexico"
Mexico,Reforma,"Reforma, Mexico"
Mexico,Emiliano Zapata,"Emiliano Zapata, Mexico"
United States,Jacksonville,"Jacksonville, United States"
Spain,Zaragoza,"Zaragoza, Spain"
United States,Laurel,"Laurel, United States"
Panama,Aserrío de Gariché,"Aserrío de Gariché, Panama"
Mexico,Jose Maria Morelos,"Jose Maria Morelos, Mexico"
United States,Whittier,"Whittier, United States"
Costa Rica,Guadalupe,"Guadalupe, Costa Rica"
United States,Sioux Falls,"Sioux Falls, United States"
Panama,Palmira,"Palmira, Panama"
Spain,Leon,"Leon, Spain"
United States,Corona,"Corona, United States"
Mexico,Morelos,"Morelos, Mexico"
United States,Orlando,"Orlando, United States"
United States,Monticello,"Monticello, United States"
Mexico,Ejidal,"Ejidal, Mexico"
United States,Grand Junction,"Grand Junction, United States"
United States,Palmdale,"Palmdale, United States"
Mexico,Buenavista,"Buenavista, Mexico"
United States,Fort Lauderdale,"Fort Lauderdale, United States"
Mexico,Loma Bonita,"Loma Bonita, Mexico"
El Salvador,Lolotique,"Lolotique, El Salvador"
United States,Arlington,"Arlington, United States"
Costa Rica,Sámara,"Sámara, Costa Rica"
Guatemala,Almolonga,"Almolonga, Guatemala"
Mexico,San Marcos,"San Marcos, Mexico"
United States,Albany,"Albany, United States"
United States,Houston,"Houston, United States"
Mexico,Emiliano Zapata,"Emiliano Zapata, Mexico"
Mexico,Del Valle,"Del Valle, Mexico"
Honduras,La Labor,"La Labor, Honduras"
Guatemala,Santa Ana Huista,"Santa Ana Huista, Guatemala"
Nicaragua,Matiguás,"Matiguás, Nicaragua"
Guatemala,Gualán,"Gualán, Guatemala"
Guatemala,San Luis Jilotepeque,"San Luis Jilotepeque, Guatemala"
Honduras,Choloma,"Choloma, Honduras"
United States,Santa Barbara,"Santa Barbara, United States"
Mexico,Independencia,"Independencia, Mexico"
Mexico,San Agustin,"San Agustin, Mexico"
Mexico,La Cruz,"La Cruz, Mexico"
United States,Huntington,"Huntington, United States"
Honduras,Agualote,"Agualote, Honduras"
Nicaragua,Chichigalpa,"Chichigalpa, Nicaragua"
Mexico,El Arenal,"El Arenal, Mexico"
Spain,Madrid,"Madrid, Spain"
Guatemala,San Lorenzo,"San Lorenzo, Guatemala"
United States,Seminole,"Seminole, United States"
Honduras,Concordia,"Concordia, Honduras"
United States,Jackson,"Jackson, United States"
Honduras,La Guama,"La Guama, Honduras"
Mexico,Guadalupe,"Guadalupe, Mexico"
Nicaragua,La Jicaral,"La Jicaral, Nicaragua"
Costa Rica,Paraíso,"Paraíso, Costa Rica"
United States,Memphis,"Memphis, United States"
Honduras,Ciudad Choluteca,"Ciudad Choluteca, Honduras"
El Salvador,Nueva Guadalupe,"Nueva Guadalupe, El Salvador"
Nicaragua,Jiquilillo,"Jiquilillo, Nicaragua"
Mexico,Loma Bonita,"Loma Bonita, Mexico"
United States,Louisville,"Louisville, United States"
Guatemala,San Miguel Chicaj,"San Miguel Chicaj, Guatemala"
United States,Brooklyn,"Brooklyn, United States"
United States,Pensacola,"Pensacola, United States"
United States,Round Rock,"Round Rock, United States"
Spain,Madrid,"Madrid, Spain"
Honduras,Zopilotepe,"Zopilotepe, Honduras"
Honduras,Agua Fría,"Agua Fría, Honduras"
Guatemala,Jacaltenango,"Jacaltenango, Guatemala"
Panama,Capira,"Capira, Panama"
United States,Honolulu,"Honolulu, United States"
Mexico,San Miguel,"San Miguel, Mexico"
United States,Columbus,"Columbus, United States"
United States,Newark,"Newark, United States"
Costa Rica,Ipís,"Ipís, Costa Rica"
Spain,Granada,"Granada, Spain"
Mexico,Melchor Ocampo,"Melchor Ocampo, Mexico"
Costa Rica,San Francisco,"San Francisco, Costa Rica"
United States,Albany,"Albany, United States"
Mexico,Los Angeles,"Los Angeles, Mexico"
Panama,El Caño,"El Caño, Panama"
Mexico,Francisco Villa,"Francisco Villa, Mexico"
Honduras,Oropéndolas,"Oropéndolas, Honduras"
Honduras,Aguas del Padre,"Aguas del Padre, Honduras"
Nicaragua,León,"León, Nicaragua"
Guatemala,San Juan Atitán,"San Juan Atitán, Guatemala"
Honduras,Guaimaca,"Guaimaca, Honduras"
Mexico,El Progreso,"El Progreso, Mexico"
Spain,Murcia,"Murcia, Spain"
Honduras,Aguas del Padre,"Aguas del Padre, Honduras"
United States,Chicago,"Chicago, United States"
United States,Orlando,"Orlando, United States"
Spain,Donostia-San Sebastian,"Donostia-San Sebastian, Spain"
Mexico,Benito Juarez,"Benito Juarez, Mexico"
United States,Shawnee Mission,"Shawnee Mission, United States"
Mexico,Alvaro Obregon,"Alvaro Obregon, Mexico"
United States,Austin,"Austin, United States"
United States,Philadelphia,"Philadelphia, United States"
United States,Phoenix,"Phoenix, United States"
United States,Houston,"Houston, United States"
Mexico,Adolfo Lopez Mateos,"Adolfo Lopez Mateos, Mexico"
Mexico,El Salitre,"El Salitre, Mexico"
United States,Clearwater,"Clearwater, United States"
Nicaragua,Masatepe,"Masatepe, Nicaragua"
United States,Denver,"Denver, United States"
United States,New York City,"New York City, United States"
Honduras,La Guata,"La Guata, Honduras"
Guatemala,Olopa,"Olopa, Guatemala"
Mexico,Juan N Alvarez,"Juan N Alvarez, Mexico"
United States,Charleston,"Charleston, United States"
Honduras,Armenia,"Armenia, Honduras"
Costa Rica,San José,"San José, Costa Rica"
Nicaragua,San Lorenzo,"San Lorenzo, Nicaragua"
Mexico,Guadalupe,"Guadalupe, Mexico"
Spain,Getafe,"Getafe, Spain"
United States,Boston,"Boston, United States"
United States,Chicago,"Chicago, United States"
Costa Rica,San Rafael,"San Rafael, Costa Rica"
Mexico,Morelos,"Morelos, Mexico"
Mexico,Lazaro Cardenas,"Lazaro Cardenas, Mexico"
Honduras,San José,"San José, Honduras"
Mexico,La Palma,"La Palma, Mexico"
Nicaragua,Nandaime,"Nandaime, Nicaragua"
Costa Rica,San Diego,"San Diego, Costa Rica"
Panama,Nueva Gorgona,"Nueva Gorgona, Panama"
Mexico,Los Pinos,"Los Pinos, Mexico"
Mexico,San Jose,"San Jose, Mexico"
Honduras,El Plan,"El Plan, Honduras"
Panama,El Rincón,"El Rincón, Panama"
Mexico,Buenavista,"Buenavista, Mexico"
Panama,Sabanitas,"Sabanitas, Panama"
Mexico,Las Palmas,"Las Palmas, Mexico"
United States,Albuquerque,"Albuquerque, United States"
Honduras,Camalote,"Camalote, Honduras"
United States,New York City,"New York City, United States"
Guatemala,San Antonio Ilotenango,"San Antonio Ilotenango, Guatemala"
United States,Portland,"Portland, United States"
Guatemala,Comapa,"Comapa, Guatemala"
Spain,Pamplona/Iruña,"Pamplona/Iruña, Spain"
United States,Lawrenceville,"Lawrenceville, United States"
United States,Los Angeles,"Los Angeles, United States"
Guatemala,Champerico,"Champerico, Guatemala"
Mexico,La Esperanza,"La Esperanza, Mexico"
Panama,Pocrí,"Pocrí, Panama"
Nicaragua,El Realejo,"El Realejo, Nicaragua"
Costa Rica,Ángeles,"Ángeles, Costa Rica"
United States,Charlotte,"Charlotte, United States"
El Salvador,San Juan Opico,"San Juan Opico, El Salvador"
United States,Bethlehem,"Bethlehem, United States"
United States,San Jose,"San Jose, United States"
Mexico,Fovissste,"Fovissste, Mexico"
Panama,La Peña,"La Peña, Panama"
United States,El Paso,"El Paso, United States"
United States,Van Nuys,"Van Nuys, United States"
Mexico,San Juan,"San Juan, Mexico"
Mexico,Hidalgo,"Hidalgo, Mexico"
United States,Portland,"Portland, United States"
United States,San Diego,"San Diego, United States"
United States,Shawnee Mission,"Shawnee Mission, United States"
Mexico,Guadalupe,"Guadalupe, Mexico"
Mexico,Nueva Esperanza,"Nueva Esperanza, Mexico"
United States,London,"London, United States"
Guatemala,Colotenango,"Colotenango, Guatemala"
United States,Jackson,"Jackson, United States"
United States,Vancouver,"Vancouver, United States"
Guatemala,Tecpán Guatemala,"Tecpán Guatemala, Guatemala"
Guatemala,Agua Blanca,"Agua Blanca, Guatemala"
United States,Atlanta,"Atlanta, United States"
United States,Durham,"Durham, United States"
United States,El Paso,"El Paso, United States"
United States,Miami,"Miami, United States"
United States,Aurora,"Aurora, United States"
Mexico,Plan de Ayala,"Plan de Ayala, Mexico"
United States,Tyler,"Tyler, United States"
United States,Asheville,"Asheville, United States"
Guatemala,Cajolá,"Cajolá, Guatemala"
United States,Tacoma,"Tacoma, United States"
Spain,Badajoz,"Badajoz, Spain"
United States,Maple Plain,"Maple Plain, United States"
Italy,Padova,"Padova, Italy"
Mexico,Los Pinos,"Los Pinos, Mexico"
Guatemala,Nentón,"Nentón, Guatemala"
United States,Grand Forks,"Grand Forks, United States"
United States,Kansas City,"Kansas City, United States"
Mexico,Benito Juarez,"Benito Juarez, Mexico"
El Salvador,Antiguo Cuscatlán,"Antiguo Cuscatlán, El Salvador"
Honduras,El Lolo,"El Lolo, Honduras"
Mexico,El Zapote,"El Zapote, Mexico"
United States,Seattle,"Seattle, United States"
Mexico,San Martin,"San Martin, Mexico"
Costa Rica,Nicoya,"Nicoya, Costa Rica"
United States,Washington,"Washington, United States"
United States,Los Angeles,"Los Angeles, United States"
Honduras,San Jerónimo,"San Jerónimo, Honduras"
United States,Lansing,"Lansing, United States"
United States,Pasadena,"Pasadena, United States"
United States,Fort Worth,"Fort Worth, United States"
United States,Buffalo,"Buffalo, United States"
Mexico,La Huerta,"La Huerta, Mexico"
Guatemala,Taxisco,"Taxisco, Guatemala"
Nicaragua,El Sauce,"El Sauce, Nicaragua"
Spain,Badajoz,"Badajoz, Spain"
Honduras,Monterrey,"Monterrey, Honduras"
Mexico,El Calvario,"El Calvario, Mexico"
Honduras,Sabá,"Sabá, Honduras"
Honduras,La Guacamaya,"La Guacamaya, Honduras"
Mexico,Lazaro Cardenas,"Lazaro Cardenas, Mexico"
Mexico,La Esperanza,"La Esperanza, Mexico"
Panama,Alcaldedíaz,"Alcaldedíaz, Panama"
Guatemala,Samayac,"Samayac, Guatemala"
United States,Inglewood,"Inglewood, United States"
Italy,Messina,"Messina, Italy"
Mexico,Los Pinos,"Los Pinos, Mexico"
United States,Montgomery,"Montgomery, United States"
United States,Jamaica,"Jamaica, United States"
El Salvador,Usulután,"Usulután, El Salvador"
Mexico,Parque Industrial,"Parque Industrial, Mexico"
Mexico,Los Pinos,"Los Pinos, Mexico"
Nicaragua,San Lorenzo,"San Lorenzo, Nicaragua"
United States,Houston,"Houston, United States"
Mexico,La Cruz,"La Cruz, Mexico"
United States,Evansville,"Evansville, United States"
United States,Evansville,"Evansville, United States"
United States,Salt Lake City,"Salt Lake City, United States"
Italy,Padova,"Padova, Italy"
United States,Tacoma,"Tacoma, United States"
Mexico,La Loma,"La Loma, Mexico"
United States,Jeffersonville,"Jeffersonville, United States"
El Salvador,Sonzacate,"Sonzacate, El Salvador"
Mexico,Lazaro Cardenas,"Lazaro Cardenas, Mexico"
United States,Detroit,"Detroit, United States"
Costa Rica,Esquipulas,"Esquipulas, Costa Rica"
Mexico,Rancho Viejo,"Rancho Viejo, Mexico"
Mexico,Benito Juarez,"Benito Juarez, Mexico"
Mexico,Independencia,"Independencia, Mexico"
El Salvador,San Salvador,"San Salvador, El Salvador"
Mexico,El Potrero,"El Potrero, Mexico"
Mexico,Plan de Ayala,"Plan de Ayala, Mexico"
Honduras,Santa María del Real,"Santa María del Real, Honduras"
United States,Fullerton,"Fullerton, United States"
Guatemala,Santa María Ixhuatán,"Santa María Ixhuatán, Guatemala"
Mexico,La Gloria,"La Gloria, Mexico"
United States,Boca Raton,"Boca Raton, United States"
El Salvador,El Rosario,"El Rosario, El Salvador"
Italy,Palermo,"Palermo, Italy"
United States,Fort Pierce,"Fort Pierce, United States"
Costa Rica,San Pedro,"San Pedro, Costa Rica"
United States,Phoenix,"Phoenix, United States"
United States,Huntsville,"Huntsville, United States"
Mexico,Benito Juarez,"Benito Juarez, Mexico"
Honduras,La Labor,"La Labor, Honduras"
Honduras,San Marcos de Colón,"San Marcos de Colón, Honduras"
Honduras,Duyure,"Duyure, Honduras"
United States,Ocala,"Ocala, United States"
El Salvador,Santiago Nonualco,"Santiago Nonualco, El Salvador"
Mexico,Adolfo Lopez Mateos,"Adolfo Lopez Mateos, Mexico"
Spain,Madrid,"Madrid, Spain"
Costa Rica,La Fortuna,"La Fortuna, Costa Rica"
Spain,Madrid,"Madrid, Spain"
Mexico,Guadalupe,"Guadalupe, Mexico"
United States,Palatine,"Palatine, United States"
Honduras,Paujiles,"Paujiles, Honduras"
Mexico,Miguel Hidalgo,"Miguel Hidalgo, Mexico"
United States,Reno,"Reno, United States"
United States,Seattle,"Seattle, United States"
Mexico,Luis Donaldo Colosio,"Luis Donaldo Colosio, Mexico"
United States,Pensacola,"Pensacola, United States"
United States,Cincinnati,"Cincinnati, United States"
Honduras,Omoa,"Omoa, Honduras"
United States,Newark,"Newark, United States"
Costa Rica,San Juan de Dios,"San Juan de Dios, Costa Rica"
United States,Pittsburgh,"Pittsburgh, United States"
United States,Columbus,"Columbus, United States"
United States,Annapolis,"Annapolis, United States"
Mexico,Emiliano Zapata,"Emiliano Zapata, Mexico"
United States,Chicago,"Chicago, United States"
Guatemala,Comapa,"Comapa, Guatemala"
Panama,La Palma,"La Palma, Panama"
Guatemala,San Pedro Necta,"San Pedro Necta, Guatemala"
United States,Trenton,"Trenton, United States"
Nicaragua,Tipitapa,"Tipitapa, Nicaragua"
Guatemala,Santa María Ixhuatán,"Santa María Ixhuatán, Guatemala"
Panama,Almirante,"Almirante, Panama"
Panama,Panamá,"Panamá, Panama"
United States,Knoxville,"Knoxville, United States"
Mexico,Hidalgo,"Hidalgo, Mexico"
United States,Shreveport,"Shreveport, United States"
United States,Washington,"Washington, United States"
United States,Daytona Beach,"Daytona Beach, United States"
United States,Provo,"Provo, United States"
Guatemala,San Juan Atitán,"San Juan Atitán, Guatemala"
United States,Boston,"Boston, United States"
Panama,Agua Buena,"Agua Buena, Panama"
United States,Akron,"Akron, United States"
Costa Rica,San Francisco,"San Francisco, Costa Rica"
Nicaragua,León,"León, Nicaragua"
Mexico,Francisco I Madero,"Francisco I Madero, Mexico"
United States,Colorado Springs,"Colorado Springs, United States"
United States,San Jose,"San Jose, United States"
United States,Norfolk,"Norfolk, United States"
United States,Chicago,"Chicago, United States"
Spain,Pontevedra,"Pontevedra, Spain"
Honduras,Quimistán,"Quimistán, Honduras"
El Salvador,Sonzacate,"Sonzacate, El Salvador"
United States,Stockton,"Stockton, United States"
Panama,Aguadulce,"Aguadulce, Panama"
United States,Atlanta,"Atlanta, United States"
Italy,Laspezia,"Laspezia, Italy"
United States,Lafayette,"Lafayette, United States"
United States,Elmira,"Elmira, United States"
Spain,Palencia,"Palencia, Spain"
United States,Boise,"Boise, United States"
Mexico,Loma Bonita,"Loma Bonita, Mexico"
Honduras,San Francisco de la Paz,"San Francisco de la Paz, Honduras"
Costa Rica,Matina,"Matina, Costa Rica"
United States,Boston,"Boston, United States"
United States,Rochester,"Rochester, United States"
Guatemala,Jutiapa,"Jutiapa, Guatemala"
Guatemala,Santiago Atitlán,"Santiago Atitlán, Guatemala"
Mexico,Las Flores,"Las Flores, Mexico"
Honduras,Duyure,"Duyure, Honduras"
United States,Omaha,"Omaha, United States"
United States,Allentown,"Allentown, United States"
Spain,Cadiz,"Cadiz, Spain"
United States,Grand Rapids,"Grand Rapids, United States"
Mexico,Primero de Mayo,"Primero de Mayo, Mexico"
United States,San Jose,"San Jose, United States"
Mexico,Santo Tomas,"Santo Tomas, Mexico"
Honduras,La Sarrosa,"La Sarrosa, Honduras"
United States,Los Angeles,"Los Angeles, United States"
United States,Kansas City,"Kansas City, United States"
Guatemala,San Pedro Sacatepéquez,"San Pedro Sacatepéquez, Guatemala"
Honduras,Agua Fría,"Agua Fría, Honduras"
Spain,Teruel,"Teruel, Spain"
Honduras,Santa Cruz de Yojoa,"Santa Cruz de Yojoa, Honduras"
United States,Denver,"Denver, United States"
Italy,Bologna,"Bologna, Italy"
Mexico,San Jose,"San Jose, Mexico"
United States,Rochester,"Rochester, United States"
Guatemala,Sololá,"Sololá, Guatemala"
United States,Young America,"Young America, United States"
United States,Irving,"Irving, United States"
United States,San Jose,"San Jose, United States"
Honduras,Santa Lucía,"Santa Lucía, Honduras"
Costa Rica,Esparza,"Esparza, Costa Rica"
United States,Alexandria,"Alexandria, United States"
Guatemala,Villa Nueva,"Villa Nueva, Guatemala"
United States,Glendale,"Glendale, United States"
United States,Garland,"Garland, United States"
United States,Tyler,"Tyler, United States"
Honduras,Teupasenti,"Teupasenti, Honduras"
Mexico,Venustiano Carranza,"Venustiano Carranza, Mexico"
United States,Fairbanks,"Fairbanks, United States"
Mexico,Ejidal,"Ejidal, Mexico"
Mexico,La Aurora,"La Aurora, Mexico"
