country,city,general
United States,Philadelphia,"Philadelphia, United States"
Mexico,Independencia,"Independencia, Mexico"
United States,Des Moines,"Des Moines, United States"
United States,Amarillo,"Amarillo, United States"
United States,Colorado Springs,"Colorado Springs, United States"
United States,San Francisco,"San Francisco, United States"
United States,Mesquite,"Mesquite, United States"
United States,Fort Lauderdale,"Fort Lauderdale, United States"
United States,Houston,"Houston, United States"
Mexico,Lazaro Cardenas,"Lazaro Cardenas, Mexico"
Spain,Pamplona/Iruña,"Pamplona/Iruña, Spain"
Honduras,El Olivar,"El Olivar, Honduras"
Costa Rica,San José,"San José, Costa Rica"
Guatemala,Comitancillo,"Comitancillo, Guatemala"
United States,Rochester,"Rochester, United States"
United States,Huntsville,"Huntsville, United States"
United States,Shawnee Mission,"Shawnee Mission, United States"
Panama,Ailigandí,"Ailigandí, Panama"
Mexico,La Loma,"La Loma, Mexico"
Mexico,Alvaro Obregon,"Alvaro Obregon, Mexico"
United States,San Diego,"San Diego, United States"
United States,El Paso,"El Paso, United States"
Costa Rica,San Vicente,"San Vicente, Costa Rica"
Spain,Logroño,"Logroño, Spain"
Guatemala,Santa Bárbara,"Santa Bárbara, Guatemala"
United States,Hollywood,"Hollywood, United States"
Spain,Aviles,"Aviles, Spain"
United States,Sacramento,"Sacramento, United States"
El Salvador,Ozatlán,"Ozatlán, El Salvador"
United States,Portland,"Portland, United States"
United States,Washington,"Washington, United States"
Mexico,El Mirador,"El Mirador, Mexico"
United States,Topeka,"Topeka, United States"
Guatemala,Morales,"Morales, Guatemala"
United States,Bethlehem,"Bethlehem, United States"
Mexico,Santa Rosa,"Santa Rosa, Mexico"
United States,Cedar Rapids,"Cedar Rapids, United States"
Guatemala,Sayaxché,"Sayaxché, Guatemala"
Mexico,Las Flores,"Las Flores, Mexico"
Italy,Messina,"Messina, Italy"
United States,Washington,"Washington, United States"
Mexico,La Cruz,"La Cruz, Mexico"
United States,Charleston,"Charleston, United States"
United States,Columbia,"Columbia, United States"
Mexico,San Agustin,"San Agustin, Mexico"
Guatemala,San Marcos,"San Marcos, Guatemala"
Italy,Napoli,"Napoli, Italy"
Mexico,Venustiano Carranza,"Venustiano Carranza, Mexico"
Honduras,Nueva Ocotepeque,"Nueva Ocotepeque, Honduras"
Spain,Malaga,"Malaga, Spain"
United States,Lancaster,"Lancaster, United States"
Mexico,Independencia,"Independencia, Mexico"
United States,Toledo,"Toledo, United States"
Spain,Ceuta,"Ceuta, Spain"
United States,El Paso,"El Paso, United States"
Mexico,Fovissste,"Fovissste, Mexico"
Costa Rica,San José,"San José, Costa Rica"
Honduras,Salamá,"Salamá, Honduras"
United States,Irving,"Irving, United States"
Honduras,San Diego,"San Diego, Honduras"
Honduras,Teupasenti,"Teupasenti, Honduras"
United States,Columbus,"Columbus, United States"
United States,Odessa,"Odessa, United States"
Guatemala,San Miguel Dueñas,"San Miguel Dueñas, Guatemala"
United States,Kansas City,"Kansas City, United States"
Guatemala,San José Poaquil,"San José Poaquil, Guatemala"
United States,San Jose,"San Jose, United States"
United States,Alexandria,"Alexandria, United States"
United States,Irving,"Irving, United States"
Mexico,Lazaro Cardenas,"Lazaro Cardenas, Mexico"
United States,Baton Rouge,"Baton Rouge, United States"
Panama,Puerto Obaldía,"Puerto Obaldía, Panama"
Mexico,Benito Juarez,"Benito Juarez, Mexico"
Panama,La Palma,"La Palma, Panama"
United States,Toledo,"Toledo, United States"
Nicaragua,Santo Domingo,"Santo Domingo, Nicaragua"
United States,Harrisburg,"Harrisburg, United States"
United States,Fort Worth,"Fort Worth, United States"
United States,Little Rock,"Little Rock, United States"
United States,Orlando,"Orlando, United States"
United States,Portland,"Portland, United States"
Mexico,El Aguacate,"El Aguacate, Mexico"
United States,Port Washington,"Port Washington, United States"
Honduras,San Jerónimo,"San Jerónimo, Honduras"
Italy,Verona,"Verona, Italy"
United States,Rochester,"Rochester, United States"
United States,Flushing,"Flushing, United States"
Mexico,San Jose,"San Jose, Mexico"
United States,Wilmington,"Wilmington, United States"
Mexico,Alameda,"Alameda, Mexico"
Honduras,Corpus,"Corpus, Honduras"
Guatemala,San Andrés,"San Andrés, Guatemala"
United States,Champaign,"Champaign, United States"
Mexico,San Francisco,"San Francisco, Mexico"
United States,Pittsburgh,"Pittsburgh, United States"
United States,Erie,"Erie, United States"
United States,Chicago,"Chicago, United States"
United States,Saint Petersburg,"Saint Petersburg, United States"
Spain,Sant Cugat Del Valles,"Sant Cugat Del Valles, Spain"
United States,Beaumont,"Beaumont, United States"
United States,Milwaukee,"Milwaukee, United States"
Italy,Roma,"Roma, Italy"
United States,Chicago,"Chicago, United States"
United States,San Antonio,"San Antonio, United States"
El Salvador,Rosario de Mora,"Rosario de Mora, El Salvador"
Mexico,San Isidro,"San Isidro, Mexico"
United States,Mountain View,"Mountain View, United States"
United States,Jacksonville,"Jacksonville, United States"
United States,Birmingham,"Birmingham, United States"
United States,Huntington,"Huntington, United States"
United States,Miami,"Miami, United States"
Honduras,El Corpus,"El Corpus, Honduras"
United States,Roanoke,"Roanoke, United States"
United States,Seattle,"Seattle, United States"
United States,Miami,"Miami, United States"
Nicaragua,La Cruz de Río Grande,"La Cruz de Río Grande, Nicaragua"
United States,Tempe,"Tempe, United States"
Guatemala,Santiago Atitlán,"Santiago Atitlán, Guatemala"
Mexico,La Loma,"La Loma, Mexico"
United States,Tempe,"Tempe, United States"
Mexico,Jose Maria Morelos,"Jose Maria Morelos, Mexico"
Italy,Messina,"Messina, Italy"
Guatemala,San Andrés Xecul,"San Andrés Xecul, Guatemala"
Nicaragua,San Rafael del Sur,"San Rafael del Sur, Nicaragua"
United States,Oklahoma City,"Oklahoma City, United States"
United States,Tucson,"Tucson, United States"
United States,Maple Plain,"Maple Plain, United States"
Panama,Tubualá,"Tubualá, Panama"
United States,Saint Petersburg,"Saint Petersburg, United States"
United States,Garden Grove,"Garden Grove, United States"
El Salvador,Santiago Nonualco,"Santiago Nonualco, El Salvador"
Mexico,Fovissste,"Fovissste, Mexico"
Nicaragua,Las Sabanas,"Las Sabanas, Nicaragua"
United States,Washington,"Washington, United States"
United States,Los Angeles,"Los Angeles, United States"
United States,Akron,"Akron, United States"
Honduras,Teupasenti,"Teupasenti, Honduras"
Mexico,Lazaro Cardenas,"Lazaro Cardenas, Mexico"
United States,Toledo,"Toledo, United States"
Honduras,Casa Quemada,"Casa Quemada, Honduras"
United States,Cumming,"Cumming, United States"
United States,Chicago,"Chicago, United States"
United States,Salinas,"Salinas, United States"
United States,Charleston,"Charleston, United States"
United States,Fort Lauderdale,"Fort Lauderdale, United States"
United States,Colorado Springs,"Colorado Springs, United States"
United States,San Francisco,"San Francisco, United States"
Mexico,San Jose,"San Jose, Mexico"
Nicaragua,Ciudad Darío,"Ciudad Darío, Nicaragua"
United States,San Rafael,"San Rafael, United States"
United States,Tacoma,"Tacoma, United States"
United States,Houston,"Houston, United States"
United States,Dayton,"Dayton, United States"
Panama,Las Lomas,"Las Lomas, Panama"
United States,Mesa,"Mesa, United States"
Guatemala,El Asintal,"El Asintal, Guatemala"
United States,Spartanburg,"Spartanburg, United States"
United States,Orlando,"Orlando, United States"
Mexico,Santa Cruz,"Santa Cruz, Mexico"
Spain,Pontevedra,"Pontevedra, Spain"
Mexico,Santa Clara,"Santa Clara, Mexico"
Panama,Palmira,"Palmira, Panama"
United States,Waterbury,"Waterbury, United States"
Costa Rica,Guadalupe,"Guadalupe, Costa Rica"
Guatemala,Acatenango,"Acatenango, Guatemala"
Mexico,Del Valle,"Del Valle, Mexico"
Mexico,Las Palmas,"Las Palmas, Mexico"
Guatemala,El Asintal,"El Asintal, Guatemala"
Mexico,El Mirador,"El Mirador, Mexico"
Mexico,Solidaridad,"Solidaridad, Mexico"
El Salvador,Metapán,"Metapán, El Salvador"
United States,Tulsa,"Tulsa, United States"
United States,Houston,"Houston, United States"
Guatemala,La Gomera,"La Gomera, Guatemala"
United States,Seattle,"Seattle, United States"
Honduras,Mangulile,"Mangulile, Honduras"
El Salvador,Chalchuapa,"Chalchuapa, El Salvador"
United States,Newport Beach,"Newport Beach, United States"
Panama,Vista Hermosa,"Vista Hermosa, Panama"
United States,Honolulu,"Honolulu, United States"
United States,Denver,"Denver, United States"
United States,Saint Louis,"Saint Louis, United States"
United States,Minneapolis,"Minneapolis, United States"
United States,Durham,"Durham, United States"
Costa Rica,San Francisco,"San Francisco, Costa Rica"
United States,Denver,"Denver, United States"
Spain,Valladolid,"Valladolid, Spain"
Nicaragua,San José de los Remates,"San José de los Remates, Nicaragua"
United States,Warren,"Warren, United States"
Mexico,Buenos Aires,"Buenos Aires, Mexico"
Mexico,Pemex,"Pemex, Mexico"
United States,Kansas City,"Kansas City, United States"
El Salvador,Santa Tecla,"Santa Tecla, El Salvador"
Honduras,Santa Cruz,"Santa Cruz, Honduras"
Nicaragua,Juigalpa,"Juigalpa, Nicaragua"
United States,Wichita,"Wichita, United States"
United States,Portland,"Portland, United States"
United States,Kissimmee,"Kissimmee, United States"
Guatemala,Zaragoza,"Zaragoza, Guatemala"
United States,San Diego,"San Diego, United States"
Mexico,Buenos Aires,"Buenos Aires, Mexico"
United States,Philadelphia,"Philadelphia, United States"
United States,West Hartford,"West Hartford, United States"
Mexico,Magisterial,"Magisterial, Mexico"
Mexico,Ojo de Agua,"Ojo de Agua, Mexico"
United States,Dallas,"Dallas, United States"
Nicaragua,San José de Cusmapa,"San José de Cusmapa, Nicaragua"
Panama,Bejuco,"Bejuco, Panama"
Panama,Panamá,"Panamá, Panama"
Mexico,San Antonio,"San Antonio, Mexico"
Honduras,Camasca,"Camasca, Honduras"
United States,Tyler,"Tyler, United States"
Mexico,Morelos,"Morelos, Mexico"
Mexico,Chapultepec,"Chapultepec, Mexico"
United States,Hartford,"Hartford, United States"
Honduras,La Lima,"La Lima, Honduras"
United States,Merrifield,"Merrifield, United States"
United States,Gainesville,"Gainesville, United States"
United States,Orlando,"Orlando, United States"
United States,Huntsville,"Huntsville, United States"
Mexico,Bellavista,"Bellavista, Mexico"
Honduras,Lucerna,"Lucerna, Honduras"
Guatemala,San Lucas Tolimán,"San Lucas Tolimán, Guatemala"
United States,Baltimore,"Baltimore, United States"
Costa Rica,Heredia,"Heredia, Costa Rica"
Panama,Bella Vista,"Bella Vista, Panama"
Mexico,Los Pinos,"Los Pinos, Mexico"
United States,Flushing,"Flushing, United States"
United States,Washington,"Washington, United States"
Guatemala,Huité,"Huité, Guatemala"
Honduras,Santiago Puringla,"Santiago Puringla, Honduras"
United States,Garden Grove,"Garden Grove, United States"
Mexico,San Miguel,"San Miguel, Mexico"
Honduras,Minas de Oro,"Minas de Oro, Honduras"
United States,Detroit,"Detroit, United States"
United States,San Jose,"San Jose, United States"
United States,Norfolk,"Norfolk, United States"
Nicaragua,La Jicaral,"La Jicaral, Nicaragua"
United States,San Jose,"San Jose, United States"
Mexico,Solidaridad,"Solidaridad, Mexico"
Honduras,San José,"San José, Honduras"
Guatemala,Chicacao,"Chicacao, Guatemala"
Italy,Roma,"Roma, Italy"
Guatemala,Esquipulas Palo Gordo,"Esquipulas Palo Gordo, Guatemala"
Spain,Sant Cugat Del Valles,"Sant Cugat Del Valles, Spain"
Mexico,Obrera,"Obrera, Mexico"
Mexico,Miguel Hidalgo,"Miguel Hidalgo, Mexico"
Spain,Getafe,"Getafe, Spain"
United States,Fort Worth,"Fort Worth, United States"
Honduras,Ocote Paulino,"Ocote Paulino, Honduras"
Panama,Vista Hermosa,"Vista Hermosa, Panama"
Mexico,Antonio Toledo Corro,"Antonio Toledo Corro, Mexico"
Costa Rica,San Vicente de Moravia,"San Vicente de Moravia, Costa Rica"
United States,Saint Cloud,"Saint Cloud, United States"
Honduras,La Libertad,"La Libertad, Honduras"
Mexico,Lazaro Cardenas,"Lazaro Cardenas, Mexico"
Nicaragua,Río Blanco,"Río Blanco, Nicaragua"
United States,Santa Rosa,"Santa Rosa, United States"
Guatemala,Jalpatagua,"Jalpatagua, Guatemala"
United States,Hartford,"Hartford, United States"
Honduras,Santiago Puringla,"Santiago Puringla, Honduras"
Costa Rica,Colima,"Colima, Costa Rica"
Mexico,Benito Juarez,"Benito Juarez, Mexico"
United States,Las Vegas,"Las Vegas, United States"
United States,Indianapolis,"Indianapolis, United States"
Mexico,La Loma,"La Loma, Mexico"
United States,Paterson,"Paterson, United States"
Spain,Zamora,"Zamora, Spain"
United States,Des Moines,"Des Moines, United States"
United States,San Francisco,"San Francisco, United States"
United States,Grand Junction,"Grand Junction, United States"
United States,Los Angeles,"Los Angeles, United States"
United States,Charlottesville,"Charlottesville, United States"
Honduras,Azacualpa,"Azacualpa, Honduras"
United States,San Jose,"San Jose, United States"
United States,Springfield,"Springfield, United States"
Nicaragua,Santa Teresa,"Santa Teresa, Nicaragua"
United States,Saint Louis,"Saint Louis, United States"
United States,Oklahoma City,"Oklahoma City, United States"
United States,Great Neck,"Great Neck, United States"
Mexico,Independencia,"Independencia, Mexico"
United States,Indianapolis,"Indianapolis, United States"
Mexico,Emiliano Zapata,"Emiliano Zapata, Mexico"
United States,Topeka,"Topeka, United States"
United States,Washington,"Washington, United States"
United States,Saint Paul,"Saint Paul, United States"
Costa Rica,San Felipe,"San Felipe, Costa Rica"
Mexico,San Antonio,"San Antonio, Mexico"
United States,Anchorage,"Anchorage, United States"
United States,Pasadena,"Pasadena, United States"
United States,Springfield,"Springfield, United States"
United States,Newark,"Newark, United States"
United States,Savannah,"Savannah, United States"
United States,Reno,"Reno, United States"
Panama,La Palma,"La Palma, Panama"
Mexico,Emiliano Zapata,"Emiliano Zapata, Mexico"
United States,Honolulu,"Honolulu, United States"
El Salvador,Nueva Guadalupe,"Nueva Guadalupe, El Salvador"
United States,Miami,"Miami, United States"
Mexico,Benito Juarez,"Benito Juarez, Mexico"
Costa Rica,Ipís,"Ipís, Costa Rica"
Costa Rica,San Vicente de Moravia,"San Vicente de Moravia, Costa Rica"
United States,Chicago,"Chicago, United States"
United States,San Francisco,"San Francisco, United States"
Mexico,La Esperanza,"La Esperanza, Mexico"
United States,Birmingham,"Birmingham, United States"
United States,Kansas City,"Kansas City, United States"
United States,Young America,"Young America, United States"
Spain,"Palmas De Gran Canaria, Las","Palmas De Gran Canaria, Las, Spain"
United States,Manassas,"Manassas, United States"
Nicaragua,Puerto Morazán,"Puerto Morazán, Nicaragua"
United States,San Jose,"San Jose, United States"
Mexico,Jose Maria Morelos,"Jose Maria Morelos, Mexico"
United States,Corona,"Corona, United States"
Mexico,Primero de Mayo,"Primero de Mayo, Mexico"
United States,Dallas,"Dallas, United States"
United States,Fresno,"Fresno, United States"
Panama,La Mesa,"La Mesa, Panama"
Guatemala,Tajumulco,"Tajumulco, Guatemala"
Mexico,Lazaro Cardenas,"Lazaro Cardenas, Mexico"
United States,Salt Lake City,"Salt Lake City, United States"
Panama,Chame,"Chame, Panama"
Guatemala,Huitán,"Huitán, Guatemala"
Mexico,Benito Juarez,"Benito Juarez, Mexico"
Spain,Palma De Mallorca,"Palma De Mallorca, Spain"
United States,Kansas City,"Kansas City, United States"
Honduras,El Corozal,"El Corozal, Honduras"
Honduras,Ojos de Agua,"Ojos de Agua, Honduras"
Honduras,Cucuyagua,"Cucuyagua, Honduras"
United States,Saint Paul,"Saint Paul, United States"
Guatemala,Olopa,"Olopa, Guatemala"
United States,Birmingham,"Birmingham, United States"
United States,Round Rock,"Round Rock, United States"
United States,Atlanta,"Atlanta, United States"
Guatemala,Jalpatagua,"Jalpatagua, Guatemala"
Mexico,Pemex,"Pemex, Mexico"
Mexico,San Antonio,"San Antonio, Mexico"
Guatemala,Melchor de Mencos,"Melchor de Mencos, Guatemala"
United States,Monroe,"Monroe, United States"
United States,Grand Junction,"Grand Junction, United States"
United States,Sioux Falls,"Sioux Falls, United States"
Guatemala,Chiantla,"Chiantla, Guatemala"
United States,San Francisco,"San Francisco, United States"
United States,Bryan,"Bryan, United States"
United States,Pensacola,"Pensacola, United States"
Honduras,Villa Nueva,"Villa Nueva, Honduras"
United States,Battle Creek,"Battle Creek, United States"
Mexico,El Potrero,"El Potrero, Mexico"
Panama,Los Santos,"Los Santos, Panama"
Panama,Cartí Suitupo,"Cartí Suitupo, Panama"
United States,Austin,"Austin, United States"
United States,Chicago,"Chicago, United States"
Mexico,La Joya,"La Joya, Mexico"
Mexico,San Isidro,"San Isidro, Mexico"
Costa Rica,Fortuna,"Fortuna, Costa Rica"
Spain,Vitoria-Gasteiz,"Vitoria-Gasteiz, Spain"
Italy,Brescia,"Brescia, Italy"
Guatemala,Oratorio,"Oratorio, Guatemala"
United States,Irving,"Irving, United States"
Mexico,San Miguel,"San Miguel, Mexico"
Honduras,Puerto Alto,"Puerto Alto, Honduras"
Mexico,Benito Juarez,"Benito Juarez, Mexico"
Mexico,Cuauhtemoc,"Cuauhtemoc, Mexico"
United States,San Diego,"San Diego, United States"
Guatemala,Mixco,"Mixco, Guatemala"
Mexico,Cuauhtemoc,"Cuauhtemoc, Mexico"
Mexico,Lindavista,"Lindavista, Mexico"
Nicaragua,El Sauce,"El Sauce, Nicaragua"
Guatemala,Tamahú,"Tamahú, Guatemala"
United States,El Paso,"El Paso, United States"
United States,Albany,"Albany, United States"
Panama,La Colorada,"La Colorada, Panama"
United States,Huntsville,"Huntsville, United States"
United States,Sioux Falls,"Sioux Falls, United States"
Mexico,Manlio Fabio Altamirano,"Manlio Fabio Altamirano, Mexico"
Mexico,San Francisco,"San Francisco, Mexico"
Spain,Torrevieja,"Torrevieja, Spain"
United States,Kingsport,"Kingsport, United States"
Honduras,El Escanito,"El Escanito, Honduras"
Mexico,Benito Juarez,"Benito Juarez, Mexico"
Panama,San Francisco,"San Francisco, Panama"
United States,Buffalo,"Buffalo, United States"
Honduras,Pueblo Nuevo,"Pueblo Nuevo, Honduras"
Honduras,Jocón,"Jocón, Honduras"
United States,Corona,"Corona, United States"
El Salvador,Atiquizaya,"Atiquizaya, El Salvador"
Honduras,Santa Cruz de Yojoa,"Santa Cruz de Yojoa, Honduras"
United States,Wichita,"Wichita, United States"
Spain,Pamplona/Iruña,"Pamplona/Iruña, Spain"
Guatemala,San Luis Jilotepeque,"San Luis Jilotepeque, Guatemala"
United States,Rochester,"Rochester, United States"
United States,Orlando,"Orlando, United States"
Costa Rica,Naranjo,"Naranjo, Costa Rica"
United States,Denver,"Denver, United States"
United States,Naperville,"Naperville, United States"
United States,Pittsburgh,"Pittsburgh, United States"
Spain,Toledo,"Toledo, Spain"
United States,Savannah,"Savannah, United States"
Spain,Badajoz,"Badajoz, Spain"
Honduras,Loma Alta,"Loma Alta, Honduras"
United States,Winston Salem,"Winston Salem, United States"
Mexico,Buenavista,"Buenavista, Mexico"
Spain,Valencia,"Valencia, Spain"
Honduras,Gracias,"Gracias, Honduras"
United States,Jacksonville,"Jacksonville, United States"
Italy,Messina,"Messina, Italy"
Panama,El Copé,"El Copé, Panama"
United States,San Diego,"San Diego, United States"
