country,city,general
Honduras,Potrerillos,"Potrerillos, Honduras"
Guatemala,Santa María de Jesús,"Santa María de Jesús, Guatemala"
Nicaragua,Tisma,"Tisma, Nicaragua"
United States,Dayton,"Dayton, United States"
Panama,Palmas Bellas,"Palmas Bellas, Panama"
United States,Tulsa,"Tulsa, United States"
United States,Denver,"Denver, United States"
United States,Springfield,"Springfield, United States"
United States,Delray Beach,"Delray Beach, United States"
United States,Bakersfield,"Bakersfield, United States"
Guatemala,Champerico,"Champerico, Guatemala"
United States,Pasadena,"Pasadena, United States"
United States,Jackson,"Jackson, United States"
United States,Naples,"Naples, United States"
Mexico,Camino Real,"Camino Real, Mexico"
Spain,Elx/Elche,"Elx/Elche, Spain"
Mexico,Jose Maria Morelos,"Jose Maria Morelos, Mexico"
United States,Boston,"Boston, United States"
Mexico,Buenos Aires,"Buenos Aires, Mexico"
United States,Reston,"Reston, United States"
Guatemala,Patzicía,"Patzicía, Guatemala"
Mexico,San Jose,"San Jose, Mexico"
United States,Kansas City,"Kansas City, United States"
Panama,Las Minas,"Las Minas, Panama"
United States,Albuquerque,"Albuquerque, United States"
Mexico,San Isidro,"San Isidro, Mexico"
Honduras,Paujiles,"Paujiles, Honduras"
Mexico,Emiliano Zapata,"Emiliano Zapata, Mexico"
United States,Brooklyn,"Brooklyn, United States"
Mexico,La Loma,"La Loma, Mexico"
United States,Washington,"Washington, United States"
United States,Kansas City,"Kansas City, United States"
Nicaragua,Telpaneca,"Telpaneca, Nicaragua"
Nicaragua,La Paz Centro,"La Paz Centro, Nicaragua"
Spain,Pamplona/Iruña,"Pamplona/Iruña, Spain"
Honduras,El Porvenir,"El Porvenir, Honduras"
United States,Houston,"Houston, United States"
Mexico,Lindavista,"Lindavista, Mexico"
Costa Rica,Cartago,"Cartago, Costa Rica"
Honduras,Armenia,"Armenia, Honduras"
Mexico,Santa Maria,"Santa Maria, Mexico"
Honduras,Veracruz,"Veracruz, Honduras"
United States,Philadelphia,"Philadelphia, United States"
United States,Chicago,"Chicago, United States"
United States,Carson City,"Carson City, United States"
United States,Sunnyvale,"Sunnyvale, United States"
Mexico,Guadalupe,"Guadalupe, Mexico"
Mexico,La Laguna,"La Laguna, Mexico"
United States,Aurora,"Aurora, United States"
United States,Portland,"Portland, United States"
Costa Rica,Patarrá,"Patarrá, Costa Rica"
Spain,Leganes,"Leganes, Spain"
United States,Indianapolis,"Indianapolis, United States"
Spain,Lleida,"Lleida, Spain"
Mexico,La Escondida,"La Escondida, Mexico"
United States,Fort Wayne,"Fort Wayne, United States"
Guatemala,San Andrés Villa Seca,"San Andrés Villa Seca, Guatemala"
United States,Seattle,"Seattle, United States"
United States,Baton Rouge,"Baton Rouge, United States"
United States,Washington,"Washington, United States"
Mexico,Los Angeles,"Los Angeles, Mexico"
Mexico,Los Angeles,"Los Angeles, Mexico"
Honduras,Sandy Bay,"Sandy Bay, Honduras"
Mexico,Emiliano Zapata,"Emiliano Zapata, Mexico"
United States,San Rafael,"San Rafael, United States"
Guatemala,Pastores,"Pastores, Guatemala"
United States,Washington,"Washington, United States"
Panama,Aguadulce,"Aguadulce, Panama"
United States,Springfield,"Springfield, United States"
El Salvador,San Rafael Oriente,"San Rafael Oriente, El Salvador"
Guatemala,El Estor,"El Estor, Guatemala"
El Salvador,Chalchuapa,"Chalchuapa, El Salvador"
Italy,Trieste,"Trieste, Italy"
Guatemala,Pajapita,"Pajapita, Guatemala"
United States,Erie,"Erie, United States"
United States,Augusta,"Augusta, United States"
Mexico,Cuauhtemoc,"Cuauhtemoc, Mexico"
United States,Rochester,"Rochester, United States"
Italy,Roma,"Roma, Italy"
United States,Lansing,"Lansing, United States"
Mexico,Morelos,"Morelos, Mexico"
Guatemala,Villa Nueva,"Villa Nueva, Guatemala"
Mexico,San Isidro,"San Isidro, Mexico"
Honduras,Arada,"Arada, Honduras"
United States,San Francisco,"San Francisco, United States"
Mexico,Loma Bonita,"Loma Bonita, Mexico"
Guatemala,Concepción Tutuapa,"Concepción Tutuapa, Guatemala"
United States,Phoenix,"Phoenix, United States"
United States,Des Moines,"Des Moines, United States"
Mexico,Buenos Aires,"Buenos Aires, Mexico"
Guatemala,Cabricán,"Cabricán, Guatemala"
Costa Rica,San José,"San José, Costa Rica"
Honduras,Travesía,"Travesía, Honduras"
Mexico,El Mirador,"El Mirador, Mexico"
Honduras,La Libertad,"La Libertad, Honduras"
El Salvador,Zacatecoluca,"Zacatecoluca, El Salvador"
United States,Scranton,"Scranton, United States"
United States,Washington,"Washington, United States"
United States,Milwaukee,"Milwaukee, United States"
Panama,Guarumal,"Guarumal, Panama"
United States,Garland,"Garland, United States"
Honduras,El Marañón,"El Marañón, Honduras"
United States,Huntington,"Huntington, United States"
Costa Rica,Fortuna,"Fortuna, Costa Rica"
Spain,Donostia-San Sebastian,"Donostia-San Sebastian, Spain"
Guatemala,La Reforma,"La Reforma, Guatemala"
Mexico,Cuauhtemoc,"Cuauhtemoc, Mexico"
United States,Madison,"Madison, United States"
United States,Trenton,"Trenton, United States"
Spain,"Hospitalet De Llobregat, L'","Hospitalet De Llobregat, L', Spain"
United States,Garden Grove,"Garden Grove, United States"
Mexico,Hidalgo,"Hidalgo, Mexico"
United States,Johnson City,"Johnson City, United States"
Guatemala,Palencia,"Palencia, Guatemala"
United States,Garden Grove,"Garden Grove, United States"
Costa Rica,San Juan de Dios,"San Juan de Dios, Costa Rica"
United States,Oklahoma City,"Oklahoma City, United States"
United States,El Paso,"El Paso, United States"
El Salvador,San Agustín,"San Agustín, El Salvador"
United States,Erie,"Erie, United States"
Guatemala,Samayac,"Samayac, Guatemala"
Mexico,Francisco Villa,"Francisco Villa, Mexico"
Guatemala,Tamahú,"Tamahú, Guatemala"
United States,Bronx,"Bronx, United States"
United States,Columbia,"Columbia, United States"
United States,Miami,"Miami, United States"
Mexico,San Sebastian,"San Sebastian, Mexico"
Guatemala,Jocotenango,"Jocotenango, Guatemala"
United States,South Bend,"South Bend, United States"
United States,Savannah,"Savannah, United States"
Honduras,Salamá,"Salamá, Honduras"
Italy,Messina,"Messina, Italy"
Mexico,Independencia,"Independencia, Mexico"
United States,Dayton,"Dayton, United States"
United States,Washington,"Washington, United States"
United States,Winston Salem,"Winston Salem, United States"
Mexico,Emiliano Zapata,"Emiliano Zapata, Mexico"
United States,Trenton,"Trenton, United States"
Nicaragua,Moyogalpa,"Moyogalpa, Nicaragua"
Mexico,Independencia,"Independencia, Mexico"
Mexico,Benito Juarez,"Benito Juarez, Mexico"
Honduras,Guanaja,"Guanaja, Honduras"
Honduras,La Lima,"La Lima, Honduras"
United States,Washington,"Washington, United States"
Mexico,Santa Rosa,"Santa Rosa, Mexico"
El Salvador,Santa Tecla,"Santa Tecla, El Salvador"
Mexico,Vista Hermosa,"Vista Hermosa, Mexico"
United States,Philadelphia,"Philadelphia, United States"
Guatemala,San Andrés,"San Andrés, Guatemala"
Spain,Madrid,"Madrid, Spain"
Mexico,Nicolas Bravo,"Nicolas Bravo, Mexico"
United States,Oakland,"Oakland, United States"
United States,Anchorage,"Anchorage, United States"
United States,Chandler,"Chandler, United States"
Mexico,San Jose,"San Jose, Mexico"
United States,Cumming,"Cumming, United States"
United States,Seattle,"Seattle, United States"
United States,Arlington,"Arlington, United States"
Honduras,Nueva Ocotepeque,"Nueva Ocotepeque, Honduras"
United States,Charlotte,"Charlotte, United States"
Mexico,La Esperanza,"La Esperanza, Mexico"
Mexico,Vicente Guerrero,"Vicente Guerrero, Mexico"
Mexico,Francisco I Madero,"Francisco I Madero, Mexico"
Costa Rica,Guadalupe,"Guadalupe, Costa Rica"
Mexico,Las Palmas,"Las Palmas, Mexico"
Honduras,Mangulile,"Mangulile, Honduras"
Mexico,Guadalupe Victoria,"Guadalupe Victoria, Mexico"
United States,El Paso,"El Paso, United States"
United States,Cheyenne,"Cheyenne, United States"
Spain,"Palmas De Gran Canaria, Las","Palmas De Gran Canaria, Las, Spain"
United States,Mobile,"Mobile, United States"
Nicaragua,Bonanza,"Bonanza, Nicaragua"
United States,Young America,"Young America, United States"
Mexico,Loma Alta,"Loma Alta, Mexico"
United States,Madison,"Madison, United States"
Mexico,San Rafael,"San Rafael, Mexico"
United States,Atlanta,"Atlanta, United States"
Mexico,Vicente Guerrero,"Vicente Guerrero, Mexico"
United States,Minneapolis,"Minneapolis, United States"
Honduras,San Agustín,"San Agustín, Honduras"
Mexico,Las Palmas,"Las Palmas, Mexico"
United States,Charlotte,"Charlotte, United States"
Mexico,San Jose,"San Jose, Mexico"
Panama,Portobelo,"Portobelo, Panama"
Mexico,La Huerta,"La Huerta, Mexico"
United States,Lincoln,"Lincoln, United States"
United States,Lansing,"Lansing, United States"
United States,Conroe,"Conroe, United States"
Italy,Villanova,"Villanova, Italy"
Panama,San Miguelito,"San Miguelito, Panama"
United States,Washington,"Washington, United States"
United States,Sparks,"Sparks, United States"
United States,Cleveland,"Cleveland, United States"
Honduras,Guacamaya,"Guacamaya, Honduras"
United States,Bronx,"Bronx, United States"
Mexico,Manlio Fabio Altamirano,"Manlio Fabio Altamirano, Mexico"
United States,Birmingham,"Birmingham, United States"
United States,Flushing,"Flushing, United States"
United States,Tampa,"Tampa, United States"
United States,Hartford,"Hartford, United States"
Mexico,San Miguel,"San Miguel, Mexico"
United States,Pasadena,"Pasadena, United States"
Mexico,Independencia,"Independencia, Mexico"
United States,Hollywood,"Hollywood, United States"
Panama,Capira,"Capira, Panama"
Guatemala,San Andrés Villa Seca,"San Andrés Villa Seca, Guatemala"
United States,Houston,"Houston, United States"
Mexico,Infonavit,"Infonavit, Mexico"
Mexico,Las Flores,"Las Flores, Mexico"
United States,Greensboro,"Greensboro, United States"
El Salvador,Guazapa,"Guazapa, El Salvador"
United States,Cheyenne,"Cheyenne, United States"
United States,Las Cruces,"Las Cruces, United States"
United States,Springfield,"Springfield, United States"
United States,Memphis,"Memphis, United States"
United States,Vancouver,"Vancouver, United States"
Mexico,Independencia,"Independencia, Mexico"
Panama,San Andrés,"San Andrés, Panama"
Mexico,Adolfo Ruiz Cortines,"Adolfo Ruiz Cortines, Mexico"
Guatemala,San José,"San José, Guatemala"
Honduras,Aguas del Padre,"Aguas del Padre, Honduras"
United States,Waco,"Waco, United States"
United States,Pittsburgh,"Pittsburgh, United States"
Honduras,San Agustín,"San Agustín, Honduras"
Guatemala,Jutiapa,"Jutiapa, Guatemala"
Mexico,Las Flores,"Las Flores, Mexico"
Guatemala,Huité,"Huité, Guatemala"
El Salvador,Olocuilta,"Olocuilta, El Salvador"
Nicaragua,Diriamba,"Diriamba, Nicaragua"
Guatemala,Cahabón,"Cahabón, Guatemala"
Mexico,Jose Maria Morelos,"Jose Maria Morelos, Mexico"
United States,Scranton,"Scranton, United States"
United States,Sacramento,"Sacramento, United States"
United States,Greensboro,"Greensboro, United States"
United States,Cumming,"Cumming, United States"
Guatemala,San Agustín Acasaguastlán,"San Agustín Acasaguastlán, Guatemala"
United States,Reno,"Reno, United States"
United States,Pittsburgh,"Pittsburgh, United States"
Guatemala,Guanagazapa,"Guanagazapa, Guatemala"
United States,Los Angeles,"Los Angeles, United States"
Mexico,Las Flores,"Las Flores, Mexico"
Guatemala,San Juan Bautista,"San Juan Bautista, Guatemala"
United States,Wilkes Barre,"Wilkes Barre, United States"
Nicaragua,Diriomo,"Diriomo, Nicaragua"
United States,Salt Lake City,"Salt Lake City, United States"
Mexico,Revolucion,"Revolucion, Mexico"
United States,Cincinnati,"Cincinnati, United States"
United States,Las Vegas,"Las Vegas, United States"
United States,San Diego,"San Diego, United States"
Guatemala,Olopa,"Olopa, Guatemala"
Honduras,Las Tejeras,"Las Tejeras, Honduras"
Spain,Badajoz,"Badajoz, Spain"
Mexico,Lagunillas,"Lagunillas, Mexico"
Mexico,Obrera,"Obrera, Mexico"
Nicaragua,Boaco,"Boaco, Nicaragua"
United States,Lincoln,"Lincoln, United States"
Nicaragua,Ciudad Sandino,"Ciudad Sandino, Nicaragua"
Nicaragua,El Realejo,"El Realejo, Nicaragua"
United States,Los Angeles,"Los Angeles, United States"
Italy,Roma,"Roma, Italy"
Mexico,La Esperanza,"La Esperanza, Mexico"
El Salvador,Sonzacate,"Sonzacate, El Salvador"
Guatemala,Guanagazapa,"Guanagazapa, Guatemala"
Honduras,Bálsamo Oriental,"Bálsamo Oriental, Honduras"
Honduras,San Fernando,"San Fernando, Honduras"
United States,Valdosta,"Valdosta, United States"
United States,Knoxville,"Knoxville, United States"
Italy,Genova,"Genova, Italy"
Mexico,Las Flores,"Las Flores, Mexico"
Costa Rica,Paquera,"Paquera, Costa Rica"
Honduras,Santa Cruz,"Santa Cruz, Honduras"
Spain,Sevilla,"Sevilla, Spain"
Spain,Palma De Mallorca,"Palma De Mallorca, Spain"
Panama,Las Minas,"Las Minas, Panama"
Mexico,Guadalupe,"Guadalupe, Mexico"
Panama,Alto de la Estancia,"Alto de la Estancia, Panama"
United States,Indianapolis,"Indianapolis, United States"
United States,San Antonio,"San Antonio, United States"
United States,Clearwater,"Clearwater, United States"
United States,San Jose,"San Jose, United States"
Mexico,Francisco I Madero,"Francisco I Madero, Mexico"
Italy,Napoli,"Napoli, Italy"
Honduras,Potrerillos,"Potrerillos, Honduras"
Mexico,Azteca,"Azteca, Mexico"
Guatemala,Santa María de Jesús,"Santa María de Jesús, Guatemala"
United States,Tucson,"Tucson, United States"
Honduras,Goascorán,"Goascorán, Honduras"
Italy,Salerno,"Salerno, Italy"
Honduras,Zamora,"Zamora, Honduras"
United States,Lynchburg,"Lynchburg, United States"
Mexico,Benito Juarez,"Benito Juarez, Mexico"
Mexico,Miguel Hidalgo,"Miguel Hidalgo, Mexico"
Spain,Vigo,"Vigo, Spain"
United States,Dallas,"Dallas, United States"
United States,El Paso,"El Paso, United States"
United States,Albany,"Albany, United States"
Honduras,Amapala,"Amapala, Honduras"
Mexico,El Calvario,"El Calvario, Mexico"
Honduras,Minas de Oro,"Minas de Oro, Honduras"
United States,Sacramento,"Sacramento, United States"
United States,San Bernardino,"San Bernardino, United States"
United States,Saint Cloud,"Saint Cloud, United States"
Honduras,Concepción de la Barranca,"Concepción de la Barranca, Honduras"
Honduras,Aguas del Padre,"Aguas del Padre, Honduras"
United States,Inglewood,"Inglewood, United States"
United States,Oakland,"Oakland, United States"
Honduras,Santa Cruz,"Santa Cruz, Honduras"
El Salvador,Concepción de Ataco,"Concepción de Ataco, El Salvador"
Mexico,Emiliano Zapata,"Emiliano Zapata, Mexico"
United States,Migrate,"Migrate, United States"
United States,Minneapolis,"Minneapolis, United States"
United States,Miami,"Miami, United States"
Mexico,Independencia,"Independencia, Mexico"
United States,Chattanooga,"Chattanooga, United States"
United States,Lubbock,"Lubbock, United States"
United States,Pasadena,"Pasadena, United States"
Honduras,El Pino,"El Pino, Honduras"
Guatemala,Santa Catarina Ixtahuacán,"Santa Catarina Ixtahuacán, Guatemala"
United States,Wichita,"Wichita, United States"
United States,Anchorage,"Anchorage, United States"
United States,High Point,"High Point, United States"
United States,Olympia,"Olympia, United States"
United States,Amarillo,"Amarillo, United States"
Mexico,Ejidal,"Ejidal, Mexico"
Honduras,El Olivar,"El Olivar, Honduras"
Mexico,San Francisco,"San Francisco, Mexico"
United States,Canton,"Canton, United States"
United States,Washington,"Washington, United States"
United States,Houston,"Houston, United States"
Panama,Changuinola,"Changuinola, Panama"
Mexico,Hidalgo,"Hidalgo, Mexico"
Honduras,La Libertad,"La Libertad, Honduras"
United States,Long Beach,"Long Beach, United States"
United States,Fort Worth,"Fort Worth, United States"
Spain,Salamanca,"Salamanca, Spain"
United States,Minneapolis,"Minneapolis, United States"
Guatemala,San Cristóbal Cucho,"San Cristóbal Cucho, Guatemala"
United States,Las Cruces,"Las Cruces, United States"
Mexico,Vicente Guerrero,"Vicente Guerrero, Mexico"
Mexico,Santa Maria,"Santa Maria, Mexico"
United States,Washington,"Washington, United States"
Guatemala,San José El Ídolo,"San José El Ídolo, Guatemala"
United States,Birmingham,"Birmingham, United States"
Costa Rica,Paraíso,"Paraíso, Costa Rica"
United States,Macon,"Macon, United States"
El Salvador,Nueva Guadalupe,"Nueva Guadalupe, El Salvador"
United States,Reno,"Reno, United States"
Mexico,Fovissste,"Fovissste, Mexico"
Spain,Alicante/Alacant,"Alicante/Alacant, Spain"
United States,Omaha,"Omaha, United States"
Guatemala,Santa María de Jesús,"Santa María de Jesús, Guatemala"
Honduras,Guacamaya,"Guacamaya, Honduras"
Spain,Zamora,"Zamora, Spain"
United States,Savannah,"Savannah, United States"
United States,Memphis,"Memphis, United States"
United States,San Diego,"San Diego, United States"
United States,Greensboro,"Greensboro, United States"
Guatemala,Chisec,"Chisec, Guatemala"
Mexico,El Calvario,"El Calvario, Mexico"
United States,Las Vegas,"Las Vegas, United States"
United States,Columbia,"Columbia, United States"
Guatemala,Gualán,"Gualán, Guatemala"
United States,El Paso,"El Paso, United States"
United States,Newark,"Newark, United States"
Mexico,El Mirador,"El Mirador, Mexico"
United States,Jacksonville,"Jacksonville, United States"
United States,Boston,"Boston, United States"
United States,Champaign,"Champaign, United States"
Nicaragua,Río Blanco,"Río Blanco, Nicaragua"
Honduras,Cane,"Cane, Honduras"
Panama,San Ignacio de Tupile,"San Ignacio de Tupile, Panama"
Honduras,Veracruz,"Veracruz, Honduras"
Mexico,San Antonio,"San Antonio, Mexico"
United States,Baltimore,"Baltimore, United States"
Guatemala,El Asintal,"El Asintal, Guatemala"
El Salvador,Atiquizaya,"Atiquizaya, El Salvador"
Costa Rica,San Rafael Abajo,"San Rafael Abajo, Costa Rica"
United States,Mobile,"Mobile, United States"
United States,Pensacola,"Pensacola, United States"
Italy,Laspezia,"Laspezia, Italy"
United States,Canton,"Canton, United States"
United States,Spartanburg,"Spartanburg, United States"
United States,Largo,"Largo, United States"
United States,Boise,"Boise, United States"
Italy,Messina,"Messina, Italy"
United States,Newport News,"Newport News, United States"
Mexico,San Isidro,"San Isidro, Mexico"
Mexico,El Refugio,"El Refugio, Mexico"
United States,Young America,"Young America, United States"
Italy,Padova,"Padova, Italy"
United States,New Haven,"New Haven, United States"
United States,Nashville,"Nashville, United States"
Mexico,La Palma,"La Palma, Mexico"
Mexico,Alvaro Obregon,"Alvaro Obregon, Mexico"
Panama,La Peña,"La Peña, Panama"
Mexico,San Pedro,"San Pedro, Mexico"
United States,Saint Augustine,"Saint Augustine, United States"
Honduras,El Porvenir,"El Porvenir, Honduras"
Guatemala,Yupiltepeque,"Yupiltepeque, Guatemala"
Mexico,San Jose,"San Jose, Mexico"
United States,Charlottesville,"Charlottesville, United States"
Panama,Colón,"Colón, Panama"
Panama,Panamá,"Panamá, Panama"
Costa Rica,Ipís,"Ipís, Costa Rica"
Guatemala,San Manuel Chaparrón,"San Manuel Chaparrón, Guatemala"
Spain,Huesca,"Huesca, Spain"
Costa Rica,Calle Blancos,"Calle Blancos, Costa Rica"
